ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
2.0;0.3;2.0;7.5;0.5;0.003498514798222357;0.001821004822342772;-0.1601501254411732;-0.001240576808907674;-0.001069632674095709;0.1668620034135447
1.4;0.4;2.0;7.5;0.5;-0.00795779039689215;-0.007435834258845704;-0.147943736963972;-0.001629829154537441;-0.004347419200994027;0.1722946915769526
1.6;0.4;2.0;7.5;0.5;4.97837321714701E-4;-0.01272903366836789;-0.1683962977400927;-0.001628430012473103;0.001160009278179691;0.182930816214357
1.8;0.4;2.0;7.5;0.5;0.001075255083037751;0.001969593884438193;-0.1927072305364963;-3.0390138450688E-4;2.993316473122844E-5;0.1783612382578712
2.0;0.4;2.0;7.5;0.5;0.001250331796226682;-0.009507790635060027;-0.1321343219516901;-0.006380275301233012;0.006217428342808088;0.1704211706884756
1.4;0.5;2.0;7.5;0.5;-0.008297895574562411;0.01775179082009166;-0.1902740660609617;0.002207862557009194;-0.001487291948843546;0.1852194609491934
1.6;0.5;2.0;7.5;0.5;0.00863408262320622;0.01874032506498737;-0.1730167044420329;0.005569844651307695;-0.006971913879874617;0.1833188859795645
1.8;0.5;2.0;7.5;0.5;-0.003216467465108268;0.01329156793643361;-0.1762864604274285;1.415599865400487E-4;-0.006008448052506119;0.1748266403783948
2.0;0.5;2.0;7.5;0.5;-0.0143943427443087;0.008708936479767209;-0.1677911439419446;0.00518282257205468;0.00373682869967785;0.1628281042443624
1.4;0.1;2.5;7.5;0.5;0.01625833214648277;-0.02365479727257155;0.001156498723669004;0.001855105541590685;-5.565055924225671E-4;0.01733517742254441
1.6;0.1;2.5;7.5;0.5;0.02251711379172835;-0.003243127692038911;0.115762010277758;-0.00103449647890111;-1.005728852792693E-4;0.0177322635396257
1.8;0.1;2.5;7.5;0.5;0.01203001288794632;-0.0397768448076126;0.1790469958507751;-0.0012360138660014;0.003399069625944203;0.01739164187956544
2.0;0.1;2.5;7.5;0.5;0.005296735862505044;-0.03058044254095307;0.04522815293311331;-3.301253716632731E-4;0.001755934186209705;0.01613083326540382
1.4;0.2;2.5;7.5;0.5;0.009101359841668438;0.008219298562638998;-3.140208406421765E-4;0.002157637903969999;-3.267122331759192E-4;0.05590198771671161
1.6;0.2;2.5;7.5;0.5;0.01156370470432141;0.01190238080191754;-0.02651430050029564;-0.001081497004140491;-0.001081929041315553;0.05560412652810486
1.8;0.2;2.5;7.5;0.5;0.008783132974617469;0.002104287090795836;-0.03779034063887801;-0.001337647302909658;2.188775492728434E-4;0.05369756187967763
2.0;0.2;2.5;7.5;0.5;0.00743893754424784;-0.005189936062506688;-0.003402409355028414;5.252580182111772E-4;-0.001680420250324426;0.05424363867140288
1.4;0.3;2.5;7.5;0.5;-0.005717804331253373;-0.005951105897208664;-0.07858854647754722;-5.0822083457416E-4;-0.002156232182717742;0.07537171606940561
1.6;0.3;2.5;7.5;0.5;-0.002024898191341663;-0.007064536193170488;-0.08952782686561837;-0.001770912613072115;-0.001112726537940423;0.07777866085378693
1.8;0.3;2.5;7.5;0.5;-0.002242272424737719;-0.005989697267691376;-0.06440199843976109;8.283062512591988E-4;1.968409008026963E-4;0.07808433026660636
2.0;0.3;2.5;7.5;0.5;-0.009888694321103314;0.009859295219912675;-0.0521401244843567;4.418191934481503E-4;-0.002121076430988618;0.07968483062538989
1.4;0.4;2.5;7.5;0.5;0.008153158026274431;7.637026360896718E-4;-0.05924793498772368;-0.003476601706395988;-0.001698765108616615;0.08564689329543078
1.6;0.4;2.5;7.5;0.5;0.003108582600709665;-4.209563992353649E-4;-0.0872184177174001;-8.545479073670411E-4;0.001846805793349406;0.08451767603515903
1.8;0.4;2.5;7.5;0.5;0.00485326681633356;-0.01778988225021928;-0.07147995717530896;-0.003306271521015;-6.937553572828514E-4;0.08795998411931098
2.0;0.4;2.5;7.5;0.5;-0.006618503449214917;0.004484639858705716;-0.08978842725205934;9.075123543339028E-4;-6.600620819354928E-4;0.08142119177114482
1.4;0.5;2.5;7.5;0.5;0.001538037284578819;0.004834902863723041;-0.1063418793503941;0.001264898830855466;-0.002397566864717044;0.08910260333799683
1.6;0.5;2.5;7.5;0.5;-0.002260890973030461;-0.004783222701340044;-0.08903776444057249;2.70750679600578E-4;0.005162095944820672;0.09019534701576326
1.8;0.5;2.5;7.5;0.5;2.988090600946768E-4;0.001769858136803224;-0.1058967263859609;0.004779827055338863;6.940544104505259E-4;0.08831373058643896
2.0;0.5;2.5;7.5;0.5;-0.01575910313928721;0.002457999916206214;-0.05777122645929442;1.414717223562827E-5;-0.002884391044656485;0.08173158639795951
1.4;0.1;3.0;7.5;0.5;0.01359039836048296;-0.05783553577129021;0.1515772213951266;-7.327300064858897E-4;6.95696150548893E-4;0.007721176886786351
1.6;0.1;3.0;7.5;0.5;0.01807644591976469;-0.01235306737658888;0.05416874232629608;-0.001102365481165398;0.001034723739466177;0.00645956867546966
1.8;0.1;3.0;7.5;0.5;-0.001430148607682687;-0.01035410276170864;0.134115769720955;4.922437776402954E-4;-5.504510353525569E-5;0.007238449598335598
2.0;0.1;3.0;7.5;0.5;0.06160560411206166;-0.02181371949619691;0.1141416383969422;-5.005031256867493E-4;0.001092387403575529;0.004864754321361305
1.4;0.2;3.0;7.5;0.5;0.003066020270415026;0.002581993910051816;-0.002142181163778767;-3.520215804484058E-4;-6.539116859076034E-4;0.02063002888435328
1.6;0.2;3.0;7.5;0.5;-0.004259375191168292;-0.00150202968870378;0.03269476889577654;-1.753087268381665E-4;1.405202481978764E-4;0.02218499899030166
1.8;0.2;3.0;7.5;0.5;0.008332936690670166;0.002274904437127542;0.02184591343469667;-1.349007026543723E-4;0.001015501383763228;0.02229062444123676
2.0;0.2;3.0;7.5;0.5;5.164868468523168E-4;0.001346256785581201;-0.0145752379453583;-4.158467313954997E-4;-6.859845767951818E-4;0.02038470904398333
1.4;0.3;3.0;7.5;0.5;-0.00402265646516424;-0.01479124123930805;0.0130047994680928;3.957247590977462E-4;8.809323313070728E-4;0.03067399829381121
1.6;0.3;3.0;7.5;0.5;-0.003428532057737499;0.006907031911863331;-0.03738219743123312;0.001091001466228743;0.001127654941167922;0.03195435406182736
1.8;0.3;3.0;7.5;0.5;-0.004439605357605994;0.002043988555065984;-0.02981388145697654;-1.151815024288852E-5;-2.532718239465731E-4;0.03131902981130066
2.0;0.3;3.0;7.5;0.5;0.005087677837121376;-0.005610271704463004;-0.0374256412590615;3.677695466171069E-4;0.00145199739362024;0.03091668891212629
1.4;0.4;3.0;7.5;0.5;-0.01641805083510649;-0.003001636986861216;-0.04370431105028876;0.00176905576280081;-2.490803297716764E-4;0.0357759644371387
1.6;0.4;3.0;7.5;0.5;8.44830534632501E-5;-0.007087429949772594;-0.0293813982532335;1.549619248744568E-4;-2.235050037649468E-4;0.03659018594160635
1.8;0.4;3.0;7.5;0.5;-0.005336959567167454;-0.01529979948542954;-0.02271099180053921;5.26887507492134E-4;2.209069268068162E-4;0.03592721305817929
2.0;0.4;3.0;7.5;0.5;-0.00751113658249386;0.01293399849697757;-0.06189119787400609;-4.438878482783812E-4;1.490264576594087E-4;0.03579842420611699
1.4;0.5;3.0;7.5;0.5;-0.01130056552812485;0.005942642360558217;-0.0431447453930815;-0.001487649693735594;-5.935955883635848E-4;0.03961885564389995
1.6;0.5;3.0;7.5;0.5;0.001547725661151868;-0.02051440037085582;-0.04567244984958443;-3.216226715734239E-5;-0.00157806011084626;0.03803752575547427
1.8;0.5;3.0;7.5;0.5;-0.01304142857843371;0.01020289210087124;-0.04520524145166503;5.881485348858463E-4;-0.00309171119594514;0.03689941018257506
2.0;0.5;3.0;7.5;0.5;-0.00974949530878256;-0.01462065010427193;-0.02851479326198231;-4.657926751003619E-5;5.377007355112594E-4;0.03802687233866386
