 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1445540525621834E-03 ;    0.1112668090622178E-03 ;   -0.5590630492262252E-04 ;   -0.6858898458180686E-05 ;   -0.2357083264548298E-04 ;   -0.2417444599907128E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3111183544215291E-04 ;    0.1047160062337263E-03 ;   -0.1169772881781416E-03 ;    0.5483273385003469E-05 ;   -0.2339288660897024E-04 ;   -0.3338188820658180E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4531451757596820E-04 ;    0.1140328169012387E-03 ;    0.9811180314480156E-04 ;    0.7344130003212574E-05 ;    0.1301476081202869E-04 ;   -0.2102127244160450E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.6893558488477507E-04 ;    0.1494768920429242E-03 ;    0.8041259590141242E-04 ;    0.3861814461932803E-05 ;    0.2597277181597180E-04 ;   -0.3041774802502905E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2041168453074199E-03 ;    0.1899639447716260E-03 ;    0.2462966419615357E-03 ;   -0.9083471172553635E-06 ;    0.3671679376233347E-04 ;   -0.2535516458902229E-05 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2144547699724643E-04 ;    0.2383050113627366E-03 ;   -0.1666526353880831E-04 ;   -0.6420582239383244E-05 ;   -0.4439372526965662E-04 ;   -0.3796148456564180E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.6073053606112317E-04 ;    0.2305806887097041E-03 ;   -0.7925458844553900E-04 ;   -0.9598623801402355E-05 ;   -0.6532963099365164E-04 ;    0.2220418845802360E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.1980798953368193E-04 ;    0.3160038059821049E-05 ;    0.1159743132493161E-03 ;   -0.1279683255965029E-04 ;    0.5688695517184151E-04 ;    0.9770902244683631E-05 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1613512462877319E-03 ;    0.1248409101721569E-03 ;    0.6649579221854995E-04 ;    0.9938742098150646E-05 ;    0.2342776728831849E-04 ;    0.5424839482392256E-05 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3357931660660577E-03 ;    0.2118658706066370E-03 ;   -0.1168960893206641E-03 ;   -0.8090133611265144E-05 ;   -0.4241035603725838E-04 ;   -0.1519279361113586E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1377370499224446E-03 ;    0.2702364154162060E-03 ;   -0.1029988099756750E-03 ;   -0.1688621613731732E-05 ;    0.4357577689946859E-04 ;    0.9147477052512696E-05 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5510146497802520E-04 ;    0.5539903945166629E-04 ;   -0.1246813638525104E-04 ;   -0.3017774457696480E-05 ;    0.1157745036344351E-05 ;   -0.2682972876583552E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8508918029507101E-04 ;    0.6486511045675272E-04 ;    0.1645018546315160E-03 ;   -0.3325230337490884E-05 ;    0.3039622318146644E-04 ;   -0.2001476149333360E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1226764445832378E-03 ;    0.6094033426622133E-04 ;    0.1477807001121918E-04 ;   -0.3905564979646269E-05 ;    0.2033228690283050E-04 ;   -0.2184128313137996E-05 ;
